scan_code,item_name,department,vendor,count,cost,price,total_cost,total_retail
4900002820,FANTA PINEAPPLE 20 oz,08 Soda,,-3356,2.88,4.68,-9665.279999999999,-15706.08
8066095796,MODELO CHELADA 24OZ SINGLE,07 Beer,,916,2.97,5.78,2720.52,5294.4800000000005
5200032481,G COOL BLUE,08 Sports Drinks,,-3858,4.42,5.06,-17052.36,-19521.48
1820025002,NATURAL LIGHT 25OZ SINGLE ,07 Beer,,-4040,3.74,4.04,-15109.6,-16321.6
7800002868,VENOM CHERRY KIWI,08 Energy Drinks,,-72,2.43,1.81,-174.96,-130.32
81752202433,2433 MEGA LOTERIA ,Scratch,,2015,3.33,7.54,6709.95,15193.1
85764100289,BUZBALLZ CHOCO,07 Wine,,1905,1.54,2.54,2933.7000000000003,4838.7
81752202321,super crossword,Scratch,,-1787,4.38,3.54,-7827.0599999999995,-6325.9800000000005
4900002319,SPRITE 1 L,08 Soda,,-793,1.06,8.43,-840.58,-6684.99
4900002656,DASANI 1L,01 Water,,2453,4.74,5.84,11627.220000000001,14325.52
7800008340,DR PEPPER DIET 20 OZ,08 Soda,,4222,3.64,4.22,15368.08,17816.84
61076486381,BANG PEACH MANGO ,08 Energy Drinks,,-3900,2.74,7.37,-10686.0,-28743.0
85764100229,TRP CHLLZ PINE COLA,07 Wine,,-1189,1.75,4.96,-2080.75,-5897.44
4900005341,COCA COLA 16 OZ CN,08 Soda,,-308,1.77,9.83,-545.16,-3027.64
81752202325,2325 BONUS GAME BINGO 2,Scratch,,-613,3.23,6.57,-1979.99,-4027.4100000000003
1200020238,BRISK LEMON TEA,08 Soda,,4945,1.71,5.81,8455.95,28730.449999999997
78616220043,SMART WATER 20 OZ,01 Water,,-4889,0.75,2.14,-3666.75,-10462.460000000001
61076438945,REDLINE BLUE RAZZ 8OZ,08 Energy Drinks,,1327,2.1,1.73,2786.7000000000003,2295.71
7084703462,MONSTER ULTRA FIESTA 16OZ,08 Energy Drinks,,1844,2.9,5.95,5347.599999999999,10971.800000000001
5200024123,GATORADE COOL BLUE SPORT CAP 24OZ,08 Sports Drinks,,-4967,4.16,2.49,-20662.72,-12367.830000000002
7800005240, AW ROOT BEER 20 OZ,08 Soda,,2041,1.97,5.59,4020.77,11409.19
81752202287,1Mill Crossword,Scratch,,326,3.26,5.86,1062.76,1910.3600000000001
65722700033,ESSENTIA WATER 1L,01 Water,,566,4.04,2.27,2286.64,1284.82
61126913344,RED BULL 20OZ,08 Energy Drinks,,2724,1.17,6.12,3187.08,16670.88
63598525875,MIKES LEMONADE 16OZ SINGLE ,07 Beer,,2746,2.21,3.55,6068.66,9748.3
7800000315,DR PEPPER,08 Soda,,-1416,3.81,7.56,-5394.96,-10704.96
8066095721,MODELO 24OZ SINGLE ,07 Beer,,-1649,2.05,3.71,-3380.45,-6117.79
85300400495,CORE 23.9 OZ 707 ML,01 Water,,2450,4.99,8.84,12225.5,21658.0
81752202167,New Mega Lotteria,Scratch,,444,4.27,9.35,1895.8799999999999,4151.4
61126954601,RED BULL 16OZ,08 Energy Drinks,,2704,2.08,8.52,5624.320000000001,23038.079999999998
1200001672,STARBUCKS FRAPPUCCINO CARAMEL 13.7 OZ,08 Coffee/Cappucino,,-1424,3.16,3.3,-4499.84,-4699.2
7199030065,COORS LIGHT 24OZ SINGLE,07 Beer,,3991,2.04,4.48,8141.64,17879.68
81752202345,1MILL CROSSWORD,Scratch,,3013,0.68,8.1,2048.84,24405.3
88939200031,CELSIUS SPRKLNG ORANGE 12OZ,08 Energy Drinks,,4396,1.79,5.43,7868.84,23870.28
